sentence_id,commit_id,commit_url,artifact,artifact_type,artifact_url,sentence,irrelevant_sentence,final_annotation,ground_truth_rationale
230_1_1_0,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,COMMIT_MESSAGE,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,Upate TestName to make the 'name' field volatile.,FALSE,GOAL,"GOAL: Make the name variable in the TestName class volatile by adding the volatile keyword.
NEED: Ensures the name is published across threads correctly, for instance, if a parallelized runner is used. It also improves safety when a variable is used in multiple threads with almost no processing overhead."
230_1_1_1,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,COMMIT_MESSAGE,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,"This ensures that the name is published across threads correctly--for
instance, if a parallelized runner is used.",FALSE,NEED,
230_1_1_2,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,COMMIT_MESSAGE,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,Closes #1157,FALSE,UNCODED,
230_3_8_0,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,src/main/java/org/junit/rules/TestName.java,CLASS_JAVADOCS,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,"[src/main/java/org/junit/rules/TestName.java#TestName]: The TestName Rule makes the current test name available inside test methods: <pre> public class TestNameTest { &#064;Rule public TestName name= new TestName(); &#064;Test public void testA() { assertEquals(&quot;testA&quot;, name.getMethodName()); } &#064;Test public void testB() { assertEquals(&quot;testB&quot;, name.getMethodName()); } } </pre> @since 4.7",FALSE,UNCODED,
230_6_3_0,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157,TestName: Make 'name' field volatile,FALSE,GOAL,
230_6_4_0,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157,"This ensures that the name is published across threads correctly--for
instance, if a parallelized runner is used.",FALSE,NEED,
230_6_5_3,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157#issuecomment-109158419,"I think in practice, we were probably fine, since it would be hard for a thread that did not update that field to get a reference to the rule.",FALSE,UNCODED,
230_6_5_4,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157#issuecomment-109158419,But making it volatile is safer and there's almost no overhead on most processors.,FALSE,NEED,
230_6_6_0,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157#issuecomment-109159234,Suppose you have a `Timeout` downstream of `TestName`.,FALSE,UNCODED,
230_6_6_1,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157#issuecomment-109159234,"The `name` field will be set, and then `Timeout` will spawn a separate thread in which the actual test will run.",FALSE,UNCODED,
230_6_6_2,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157#issuecomment-109159234,"Currently this _should_ be safe because it creates a new `Thread` object for every test invocation, but if this implementation detail ever changed (e.g. `Timeout` reuses threads in a thread pool) undefined behavior will result.",FALSE,UNCODED,
230_6_7_1,230,https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d,https://github.com/junit-team/junit4/pull/1157,PULL_REQUEST,https://github.com/junit-team/junit4/pull/1157#issuecomment-109162008,I could easily imagine custom Timeout implementations that use a thread pool,FALSE,UNCODED,
589_1_1_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,COMMIT_MESSAGE,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,improved implementation using Executors,FALSE,GOAL,"GOAL: Improve the implementation of ParallelComputer using Executors by calling awaitTermination() instead of the thread-unsafe ArrayList and Callable.
NEED: Improve the implementation of ParallelComputer by avoiding a thread-unsafe ArrayList."
589_5_10_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9621997,"FYI, @marcphilipp, I've added this to a list of issues blocking the release of 4.11:",TRUE,UNCODED,
589_5_10_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9621997,https://github.com/KentBeck/junit/issues?labels=blocking&page=1&state=open,TRUE,UNCODED,
589_5_11_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9622282,"Luckily one can switch to one of the JDK 1.5-compatible `TimeUnit` constants without suffering any side effects whatsoever: internally `ThreadPoolExecutor#awaitTermination(long, TimeUnit)` converts the timeout to _nanoseconds_, so `#awaitTermination(Long.MAX_VALUE, TimeUnit.DAYS)` waits exactly as long as `#awaitTermination(Long.MAX_VALUE, TimeUnit.NANOSECONDS)`.",TRUE,UNCODED,
589_5_12_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9625645,"@lehmann 
@Stephan202 
@marcphilipp 

it was fixed in #523 some days ago",TRUE,UNCODED,
589_5_13_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641637,"> Luckily one can switch to one of the JDK 1.5-compatible `TimeUnit` constants without suffering any side effects whatsoever: internally `ThreadPoolExecutor#awaitTermination(long, TimeUnit)` converts the timeout to _nanoseconds_, so `#awaitTermination(Long.MAX_VALUE, TimeUnit.DAYS)` waits exactly as long as `#awaitTermination(Long.MAX_VALUE, TimeUnit.NANOSECONDS)`.",TRUE,UNCODED,
589_5_13_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641637,@Stephan202 I don't think that's true.,TRUE,UNCODED,
589_5_13_2,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641637,While ThreadPoolExecutor converts the timeout to nanoseconds Long.MAX_VALUE nanoseconds are less than Long.MAX_VALUE days in nanoseconds.,TRUE,UNCODED,
589_5_14_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641694,@marcphilipp:,TRUE,UNCODED,
589_5_14_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641694,"Indeed the amount is less, but since `Long.MAX_VALUE` days in nanoseconds simply doesn't fit in a `long`, the `ThreadPoolExecutor` ""reduces"" the timeout to `Long.MAX_VALUE` nanoseconds.",TRUE,UNCODED,
589_5_14_2,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641694,"At least, that's how I read the code.",TRUE,UNCODED,
589_5_14_3,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641694,(I also notice that @Tibor17 rewrote the code accordingly.),TRUE,UNCODED,
589_5_15_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641709,"@Stephan202 Ah, ok, that sounds reasonable.",TRUE,UNCODED,
589_5_15_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641709,"Haven't done the math on it, thanks! :-)",TRUE,UNCODED,
589_5_16_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641764,IMHO #523 can wait for 4.12 while this compatibility issue needs to be fixed for 4.11.,TRUE,UNCODED,
589_5_16_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641764,"Thus, I've submitted a smaller pull request in #533.",TRUE,UNCODED,
589_5_17_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531#issuecomment-9641777,Agree with that assessment.,TRUE,UNCODED,
589_5_5_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531,Incompatibility with Java 5,TRUE,UNCODED,
589_5_6_0,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531,"Morning,
after download JUnit source project and (try) compile, I receive a compilation error.",TRUE,UNCODED,
589_5_6_1,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531,Commit 41e5c7ed5f82b5a588828584c3ac765b40a76cea (https://github.com/KentBeck/junit/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea#src/main/java/org/junit/experimental/ParallelComputer.java) inserted a reference to TimeUnit that only exists in Java 1.6.,TRUE,UNCODED,
589_5_6_2,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531,"I changed the JRE version on my local project and everything works, but i believe than JUnit framework is still Java 5 compatible.",TRUE,UNCODED,
589_5_6_3,589,https://github.com/junit-team/junit4/commit/41e5c7ed5f82b5a588828584c3ac765b40a76cea,https://github.com/junit-team/junit4/issues/531,ISSUE,https://github.com/junit-team/junit4/issues/531,I hope I helped. =),TRUE,UNCODED,
