id,repo_id,label,url,commit message,commitDate,java_file_change_count,line_change_count,sampling_commit
4224,2,0,https://github.com/apache/dubbo/commit/9e9e778e04aa95501e4ab9b49e8f927527e7e260,Optimize_hessian_desr_performance (#1705),2018-04-26T10:51:02Z,1,163,0
5382,3,0,https://github.com/square/retrofit/commit/07548db79012d3ccacc5d883f3e71d24d0de359a,Add @PartMap annotation.,2014-05-01T17:16:02Z,5,156,0
6983,4,3,https://github.com/square/okhttp/commit/c310d27440bd58c23a8cb7795fe1e9514488c962,workaround broken system dns behaviour,2017-11-17T11:02:26Z,1,9,0
3817,2,0,https://github.com/apache/dubbo/commit/7f262f960b830db3b80d35451f259430ae56b1c8,simplify map empty judgment (#3376),2019-01-29T05:38:51Z,1,4,0
2613,2,0,https://github.com/apache/dubbo/commit/912303d9c4aaf04866868e5e48ee247820f088ba,collect async export services (#5905),2020-04-01T14:49:58Z,1,1,0
2884,2,2,https://github.com/apache/dubbo/commit/dfa84998968f7f9bfc25b935b531fcf8c67fe854,fix NetUtils.isPreferIPV6Address bug (#5238),2019-11-08T05:20:57Z,1,6,0
5058,3,0,https://github.com/square/retrofit/commit/238a9e59e69d61479a4505dba5f5659a599c699f,"Doc error. `@QueryMap` with `encoded=true` will stop default url encoding. So, calling with `foo.list(ImmutableMap.of('foo', 'foo+bar'))` yields '/search?foo=foo+bar' instead of '/search?foo=foo%2Bbar'.",2016-03-07T02:32:06Z,1,4,0
3868,2,0,https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5,replace ServiceAnnotationBeanPostProcessor log.isInfoEnabled->log.isWarnEnabled (#2712) <enter>  <enter> simplify ExtensionLoader code segment,2018-10-31T03:29:54Z,2,17,0
7285,4,2,https://github.com/square/okhttp/commit/e3cd9b9f1c9787c36d5ea82190bf1e2365377e66,Fixes #2513 - NetworkSecurityPolicy based ConnectionSpec setup.,2016-04-27T02:05:28Z,2,37,0
1775,1,2,https://github.com/junit-team/junit4/commit/a688f6cecfe303b02087747226e5c376aebb0c44,"Issue #1127; when arrays differ in length, say so, but go ahead and find the first difference as usual to ease diagnosis",2016-05-15T22:35:58Z,2,99,0
2599,2,2,https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91,Fix concurrency problems in RpcStatus and RoundRobinLoadBalance (#5881),2020-04-07T02:43:21Z,2,59,0
4951,3,2,https://github.com/square/retrofit/commit/a63faf44e1b103a49d25a15c720fc5940ae9fc07,Fixed copy-paste errors.,2017-04-21T00:36:13Z,1,28,0
5262,3,0,https://github.com/square/retrofit/commit/52be441605e6fc469ec718b2da954ad553491746,Fix foo/bar/baz in @Query documentation,2015-04-26T09:32:20Z,1,6,0
7217,4,0,https://github.com/square/okhttp/commit/02b08fbde7b1726d7a4c0dc971152751ac82ca0a,"Allow HTAB in header values. <enter>  <enter> RFC 7230 section 3.2 allows HTAB ('	', 'u0009') inside header <enter> values as long as there is not more than one in a row: <enter>   https://tools.ietf.org/html/rfc7230#section-3.2 <enter>  <enter> Before this CL, OkHttp previously disallowed HTAB in header values. <enter> This CL changes behavior to allow any number of consecutive HTABs <enter> inside a header value; this is more permissive than the RFC, but <enter> is consistent with how OkHttp currently treats space characters <enter> (' ', 'u0020').",2016-09-07T17:23:08Z,3,15,0
