experiment_version,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score,accuracy_score
CI-RFS,o4-mini,0,GOAL,99,31,2139,11,0.7615384615,0.9,0.825,0.8684210526,0.9815789474
CI-RFS,o4-mini,0,NEED,50,86,2138,6,0.3676470588,0.8928571429,0.5208333333,0.6944444444,0.9596491228
CI-RFS,o4-mini,0,ALTERNATIVES,6,51,2219,4,0.1052631579,0.6,0.1791044776,0.3092783505,0.975877193
CI-RFS,o4-mini,0,Total,155,168,6496,21,0.479876161,0.8806818182,0.621242485,0.7546251217,0.9723684211
CI-RFS,o4-mini,1,GOAL,106,44,2126,4,0.7066666667,0.9636363636,0.8153846154,0.8983050847,0.9789473684
CI-RFS,o4-mini,1,NEED,52,85,2139,4,0.3795620438,0.9285714286,0.5388601036,0.7202216066,0.9609649123
CI-RFS,o4-mini,1,ALTERNATIVES,9,60,2210,1,0.1304347826,0.9,0.2278481013,0.4128440367,0.973245614
CI-RFS,o4-mini,1,Total,167,189,6475,9,0.4691011236,0.9488636364,0.6278195489,0.7877358491,0.9710526316
CI-RFS,o4-mini,2,GOAL,105,36,2134,5,0.7446808511,0.9545454545,0.8366533865,0.9036144578,0.9820175439
CI-RFS,o4-mini,2,NEED,48,86,2138,8,0.3582089552,0.8571428571,0.5052631579,0.6703910615,0.9587719298
CI-RFS,o4-mini,2,ALTERNATIVES,6,53,2217,4,0.1016949153,0.6,0.1739130435,0.303030303,0.975
CI-RFS,o4-mini,2,Total,159,175,6489,17,0.4760479042,0.9034090909,0.6235294118,0.7658959538,0.9719298246
CI-RFS,o4-mini,Voting,GOAL,105,32,2138,5,0.7664233577,0.9545454545,0.8502024291,0.9098786828,0.9837719298
CI-RFS,o4-mini,Voting,NEED,51,79,2145,5,0.3923076923,0.9107142857,0.5483870968,0.7203389831,0.9631578947
CI-RFS,o4-mini,Voting,ALTERNATIVES,8,44,2226,2,0.1538461538,0.8,0.2580645161,0.4347826087,0.9798245614
CI-RFS,o4-mini,Voting,Total,164,155,6509,12,51.41%,93.18%,66.26%,80.16%,97.56%
CI-RFS,o4-mini,Average,Total,160.3333333,177.3333333,6486.666667,15.66666667,0.4750083963,0.9109848485,0.6241971485,0.7696951516,0.9717836257
CI-RFS,gpt-5.2,0,GOAL,108,79,2091,2,0.577540107,0.9818181818,0.7272727273,0.8612440191,0.9644736842
CI-RFS,gpt-5.2,0,NEED,55,125,2099,1,0.3055555556,0.9821428571,0.4661016949,0.6806930693,0.9447368421
CI-RFS,gpt-5.2,0,ALTERNATIVES,5,23,2247,5,0.1785714286,0.5,0.2631578947,0.3676470588,0.9877192982
CI-RFS,gpt-5.2,0,Total,168,227,6437,8,0.4253164557,0.9545454545,0.588441331,0.7643312102,0.9656432749
CI-RFS,gpt-5.2,1,GOAL,107,85,2085,3,0.5572916667,0.9727272727,0.7086092715,0.8465189873,0.9614035088
CI-RFS,gpt-5.2,1,NEED,51,130,2094,5,0.2817679558,0.9107142857,0.4303797468,0.6296296296,0.9407894737
CI-RFS,gpt-5.2,1,ALTERNATIVES,7,27,2243,3,0.2058823529,0.7,0.3181818182,0.472972973,0.9868421053
CI-RFS,gpt-5.2,1,Total,165,242,6422,11,0.4054054054,0.9375,0.5660377358,0.7425742574,0.9630116959
CI-RFS,gpt-5.2,2,GOAL,108,77,2093,2,0.5837837838,0.9818181818,0.7322033898,0.864,0.9653508772
CI-RFS,gpt-5.2,2,NEED,52,124,2100,4,0.2954545455,0.9285714286,0.4482758621,0.65,0.9438596491
CI-RFS,gpt-5.2,2,ALTERNATIVES,5,21,2249,5,0.1923076923,0.5,0.2777777778,0.3787878788,0.9885964912
CI-RFS,gpt-5.2,2,Total,165,222,6442,11,0.4263565891,0.9375,0.5861456483,0.7561869844,0.9659356725
CI-RFS,gpt-5.2,Voting,GOAL,107,78,2092,3,0.5783783784,0.9727272727,0.7254237288,0.856,0.9644736842
CI-RFS,gpt-5.2,Voting,NEED,52,123,2101,4,0.2971428571,0.9285714286,0.4502164502,0.6516290727,0.9442982456
CI-RFS,gpt-5.2,Voting,ALTERNATIVES,5,23,2247,5,0.1785714286,0.5,0.2631578947,0.3676470588,0.9877192982
CI-RFS-G5.2,gpt-5.2,Voting,Total,161,146,6518,15,52.44%,91.48%,66.67%,79.62%,97.65%
CI-RFS,gpt-5.2,Average,Total,166,230.3333333,6433.666667,10,0.4190261501,0.9431818182,0.5802082384,0.754438009,0.9648635478
CI-RFS,gemini-3-flash-preview,0,GOAL,107,131,2039,3,0.4495798319,0.9727272727,0.6149425287,0.7890855457,0.9412280702
CI-RFS,gemini-3-flash-preview,0,NEED,53,227,1997,3,0.1892857143,0.9464285714,0.3154761905,0.5257936508,0.899122807
CI-RFS,gemini-3-flash-preview,0,ALTERNATIVES,6,64,2206,4,0.08571428571,0.6,0.15,0.2727272727,0.9701754386
CI-RFS,gemini-3-flash-preview,0,Total,166,422,6242,10,0.2823129252,0.9431818182,0.4345549738,0.6424148607,0.9368421053
CI-RFS,gemini-3-flash-preview,1,GOAL,109,121,2049,1,0.4739130435,0.9909090909,0.6411764706,0.8134328358,0.9464912281
CI-RFS,gemini-3-flash-preview,1,NEED,53,216,2008,3,0.1970260223,0.9464285714,0.3261538462,0.537525355,0.9039473684
CI-RFS,gemini-3-flash-preview,1,ALTERNATIVES,7,63,2207,3,0.1,0.7,0.175,0.3181818182,0.9710526316
CI-RFS,gemini-3-flash-preview,1,Total,169,400,6264,7,0.2970123023,0.9602272727,0.4536912752,0.6637863315,0.940497076
