experiment_version,llm_annotation_reasoning,reasoning_of_example,rules,example,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score
CI-FS,0,0,0,2,o4-mini,0,GOAL,29,4,669,2,87.88%,93.55%,90.63%,92.36%
CI-FS,0,0,0,2,o4-mini,0,NEED,20,23,657,4,46.51%,83.33%,59.70%,71.94%
CI-FS,0,0,0,2,o4-mini,0,ALTERNATIVES,8,12,684,0,40.00%,100.00%,57.14%,76.92%
CI-FS,0,0,0,2,o4-mini,0,Total,57,39,2010,6,59.38%,90.48%,71.70%,81.90%
CI-FS,0,0,0,2,o4-mini,1,GOAL,26,4,669,5,86.67%,83.87%,85.25%,84.42%
CI-FS,0,0,0,2,o4-mini,1,NEED,20,20,660,4,50.00%,83.33%,62.50%,73.53%
CI-FS,0,0,0,2,o4-mini,1,ALTERNATIVES,8,13,683,0,38.10%,100.00%,55.17%,75.47%
CI-FS,0,0,0,2,o4-mini,1,Total,54,37,2012,9,59.34%,85.71%,70.13%,78.72%
CI-FS,0,0,0,2,o4-mini,2,GOAL,28,6,667,3,82.35%,90.32%,86.15%,88.61%
CI-FS,0,0,0,2,o4-mini,2,NEED,21,19,661,3,52.50%,87.50%,65.63%,77.21%
CI-FS,0,0,0,2,o4-mini,2,ALTERNATIVES,8,14,682,0,36.36%,100.00%,53.33%,74.07%
CI-FS,0,0,0,2,o4-mini,2,Total,57,39,2010,6,59.38%,90.48%,71.70%,81.90%
CI-FS,0,0,0,2,o4-mini,Voting,GOAL,27,4,669,4,87.10%,87.10%,87.10%,87.10%
CI-FS,0,0,0,2,o4-mini,Voting,NEED,21,17,663,3,55.26%,87.50%,67.74%,78.36%
CI-FS,0,0,0,2,o4-mini,Voting,ALTERNATIVES,8,13,683,0,38.10%,100.00%,55.17%,75.47%
CI-FS,0,0,0,2,o4-mini,Voting,Total,56,34,2015,7,62.22%,88.89%,73.20%,81.87%
CI-FS,0,0,0,2,o4-mini,Average,ALTERNATIVES,-,-,-,-,38.15%,100.00%,55.23%,75.52%
CI-FS,0,0,0,2,o4-mini,Average,GOAL,-,-,-,-,85.63%,89.25%,87.40%,88.50%
CI-FS,0,0,0,2,o4-mini,Average,NEED,-,-,-,-,49.67%,84.72%,62.63%,74.24%
CI-FS,0,0,0,2,o4-mini,Average,Total,-,-,-,-,59.36%,88.89%,71.19%,80.85%
CI-RFS,0,1,0,2,o4-mini,0,GOAL,29,5,668,2,85.29%,93.55%,89.23%,91.77%
CI-RFS,0,1,0,2,o4-mini,0,NEED,20,14,666,4,58.82%,83.33%,68.97%,76.92%
CI-RFS,0,1,0,2,o4-mini,0,ALTERNATIVES,5,7,689,3,41.67%,62.50%,50.00%,56.82%
CI-RFS,0,1,0,2,o4-mini,0,Total,54,26,2023,9,67.50%,85.71%,75.52%,81.33%
CI-RFS,0,1,0,2,o4-mini,1,GOAL,28,0,673,3,100.00%,90.32%,94.92%,92.11%
CI-RFS,0,1,0,2,o4-mini,1,NEED,22,19,661,2,53.66%,91.67%,67.69%,80.29%
CI-RFS,0,1,0,2,o4-mini,1,ALTERNATIVES,7,11,685,1,38.89%,87.50%,53.85%,70.00%
CI-RFS,0,1,0,2,o4-mini,1,Total,57,30,2019,6,65.52%,90.48%,76.00%,84.07%
CI-RFS,0,1,0,2,o4-mini,2,GOAL,29,0,673,2,100.00%,93.55%,96.67%,94.77%
CI-RFS,0,1,0,2,o4-mini,2,NEED,21,25,655,3,45.65%,87.50%,60.00%,73.94%
CI-RFS,0,1,0,2,o4-mini,2,ALTERNATIVES,8,11,685,0,42.11%,100.00%,59.26%,78.43%
CI-RFS,0,1,0,2,o4-mini,2,Total,58,36,2013,5,61.70%,92.06%,73.89%,83.82%
CI-RFS,0,1,0,2,o4-mini,Voting,GOAL,30,0,673,1,100.00%,96.77%,98.36%,97.40%
CI-RFS,0,1,0,2,o4-mini,Voting,NEED,23,15,665,1,60.53%,95.83%,74.19%,85.82%
CI-RFS,0,1,0,2,o4-mini,Voting,ALTERNATIVES,8,7,689,0,53.33%,100.00%,69.57%,85.11%
CI-RFS,0,1,0,2,o4-mini,Voting,Total,61,22,2027,2,73.49%,96.83%,83.56%,91.04%
CI-RFS,0,1,0,2,o4-mini,Average,ALTERNATIVES,-,-,-,-,40.89%,83.33%,54.86%,69.01%
CI-RFS,0,1,0,2,o4-mini,Average,GOAL,-,-,-,-,95.10%,92.47%,93.77%,92.99%
CI-RFS,0,1,0,2,o4-mini,Average,NEED,-,-,-,-,52.71%,87.50%,65.79%,77.30%
CI-RFS,0,1,0,2,o4-mini,Average,Total,-,-,-,-,64.91%,89.42%,75.22%,83.14%
CI-RFS+,0,1,1,2,o4-mini,0,GOAL,28,4,669,3,87.50%,90.32%,88.89%,89.74%
CI-RFS+,0,1,1,2,o4-mini,0,NEED,22,21,659,2,51.16%,91.67%,65.67%,79.14%
CI-RFS+,0,1,1,2,o4-mini,0,ALTERNATIVES,6,6,690,2,50.00%,75.00%,60.00%,68.18%
CI-RFS+,0,1,1,2,o4-mini,0,Total,56,31,2018,7,64.37%,88.89%,74.67%,82.60%
CI-RFS+,0,1,1,2,o4-mini,1,GOAL,30,2,671,1,93.75%,96.77%,95.24%,96.15%
CI-RFS+,0,1,1,2,o4-mini,1,NEED,21,21,659,3,50.00%,87.50%,63.64%,76.09%
CI-RFS+,0,1,1,2,o4-mini,1,ALTERNATIVES,7,7,689,1,50.00%,87.50%,63.64%,76.09%
CI-RFS+,0,1,1,2,o4-mini,1,Total,58,30,2019,5,65.91%,92.06%,76.82%,85.29%
CI-RFS+,0,1,1,2,o4-mini,2,GOAL,29,0,673,2,100.00%,93.55%,96.67%,94.77%
CI-RFS+,0,1,1,2,o4-mini,2,NEED,21,9,671,3,70.00%,87.50%,77.78%,83.33%
CI-RFS+,0,1,1,2,o4-mini,2,ALTERNATIVES,7,8,688,1,46.67%,87.50%,60.87%,74.47%
CI-RFS+,0,1,1,2,o4-mini,2,Total,57,17,2032,6,77.03%,90.48%,83.21%,87.42%
CI-RFS+,0,1,1,2,o4-mini,Voting,GOAL,30,1,672,1,96.77%,96.77%,96.77%,96.77%
CI-RFS+,0,1,1,2,o4-mini,Voting,NEED,22,15,665,2,59.46%,91.67%,72.13%,82.71%
CI-RFS+,0,1,1,2,o4-mini,Voting,ALTERNATIVES,7,7,689,1,50.00%,87.50%,63.64%,76.09%
CI-RFS+,0,1,1,2,o4-mini,Voting,Total,59,23,2026,4,71.95%,93.65%,81.38%,88.32%
CI-RFS+,0,1,1,2,o4-mini,Average,ALTERNATIVES,-,-,-,-,48.89%,83.33%,61.62%,73.04%
CI-RFS+,0,1,1,2,o4-mini,Average,GOAL,-,-,-,-,93.75%,93.55%,93.65%,93.59%
CI-RFS+,0,1,1,2,o4-mini,Average,NEED,-,-,-,-,57.05%,88.89%,69.50%,79.97%
CI-RFS+,0,1,1,2,o4-mini,Average,Total,-,-,-,-,69.10%,90.48%,78.36%,85.20%
CI-ZS,0,0,0,0,o4-mini,0,GOAL,28,8,665,3,77.78%,90.32%,83.58%,87.50%
CI-ZS,0,0,0,0,o4-mini,0,NEED,20,20,660,4,50.00%,83.33%,62.50%,73.53%
CI-ZS,0,0,0,0,o4-mini,0,ALTERNATIVES,7,20,676,1,25.93%,87.50%,40.00%,59.32%
CI-ZS,0,0,0,0,o4-mini,0,Total,55,48,2001,8,53.40%,87.30%,66.27%,77.46%
CI-ZS,0,0,0,0,o4-mini,1,GOAL,28,3,670,3,90.32%,90.32%,90.32%,90.32%
CI-ZS,0,0,0,0,o4-mini,1,NEED,21,20,660,3,51.22%,87.50%,64.62%,76.64%
CI-ZS,0,0,0,0,o4-mini,1,ALTERNATIVES,7,10,686,1,41.18%,87.50%,56.00%,71.43%
CI-ZS,0,0,0,0,o4-mini,1,Total,56,33,2016,7,62.92%,88.89%,73.68%,82.11%
CI-ZS,0,0,0,0,o4-mini,2,GOAL,27,7,666,4,79.41%,87.10%,83.08%,85.44%
CI-ZS,0,0,0,0,o4-mini,2,NEED,18,18,662,6,50.00%,75.00%,60.00%,68.18%
CI-ZS,0,0,0,0,o4-mini,2,ALTERNATIVES,7,9,687,1,43.75%,87.50%,58.33%,72.92%
CI-ZS,0,0,0,0,o4-mini,2,Total,52,34,2015,11,60.47%,82.54%,69.80%,76.92%
CI-ZS,0,0,0,0,o4-mini,Voting,GOAL,28,5,668,3,84.85%,90.32%,87.50%,89.17%
CI-ZS,0,0,0,0,o4-mini,Voting,NEED,19,15,665,5,55.88%,79.17%,65.52%,73.08%
CI-ZS,0,0,0,0,o4-mini,Voting,ALTERNATIVES,7,13,683,1,35.00%,87.50%,50.00%,67.31%
CI-ZS,0,0,0,0,o4-mini,Voting,Total,54,33,2016,9,62.07%,85.71%,72.00%,79.65%
CI-ZS,0,0,0,0,o4-mini,Average,ALTERNATIVES,-,-,-,-,36.95%,87.50%,51.96%,68.70%
CI-ZS,0,0,0,0,o4-mini,Average,GOAL,-,-,-,-,82.50%,89.25%,85.74%,87.81%
CI-ZS,0,0,0,0,o4-mini,Average,NEED,-,-,-,-,50.41%,81.94%,62.42%,72.83%
CI-ZS,0,0,0,0,o4-mini,Average,Total,-,-,-,-,58.93%,86.24%,70.02%,78.93%
