experiment_version,llm_annotation_reasoning,reasoning_of_example,rules,example,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score
CI-ZS,0,0,0,0,o4-mini,0,GOAL,105,47,2123,5,69.08%,95.45%,80.15%,88.68%
CI-ZS,0,0,0,0,o4-mini,0,NEED,47,92,2132,9,33.81%,83.93%,48.21%,64.74%
CI-ZS,0,0,0,0,o4-mini,0,ALTERNATIVES,6,58,2212,4,9.38%,60.00%,16.22%,28.85%
CI-ZS,0,0,0,0,o4-mini,0,Total,158,197,6467,18,44.51%,89.77%,59.51%,74.60%
CI-ZS,0,0,0,0,o4-mini,1,GOAL,103,47,2123,7,68.67%,93.64%,79.23%,87.29%
CI-ZS,0,0,0,0,o4-mini,1,NEED,47,102,2122,9,31.54%,83.93%,45.85%,63.00%
CI-ZS,0,0,0,0,o4-mini,1,ALTERNATIVES,9,58,2212,1,13.43%,90.00%,23.38%,42.06%
CI-ZS,0,0,0,0,o4-mini,1,Total,159,207,6457,17,43.44%,90.34%,58.67%,74.30%
CI-ZS,0,0,0,0,o4-mini,2,GOAL,101,39,2131,9,72.14%,91.82%,80.80%,87.07%
CI-ZS,0,0,0,0,o4-mini,2,NEED,47,102,2122,9,31.54%,83.93%,45.85%,63.00%
CI-ZS,0,0,0,0,o4-mini,2,ALTERNATIVES,8,78,2192,2,9.30%,80.00%,16.67%,31.75%
CI-ZS,0,0,0,0,o4-mini,2,Total,156,219,6445,20,41.60%,88.64%,56.62%,72.29%
CI-ZS,0,0,0,0,o4-mini,Voting,GOAL,104,43,2127,6,70.75%,94.55%,80.93%,88.59%
CI-ZS,0,0,0,0,o4-mini,Voting,NEED,49,88,2136,7,35.77%,87.50%,50.78%,67.87%
CI-ZS,0,0,0,0,o4-mini,Voting,ALTERNATIVES,9,61,2209,1,12.86%,90.00%,22.50%,40.91%
CI-ZS,0,0,0,0,o4-mini,Voting,Total,162,192,6472,14,45.76%,92.05%,61.13%,76.56%
CI-ZS,0,0,0,0,o4-mini,Average,Total,157.6666667,207.6666667,6456.333333,18.33333333,43.18%,89.58%,58.27%,73.74%
CI-FS,0,0,0,2,o4-mini,0,GOAL,104,38,2132,6,73.24%,94.55%,82.54%,89.35%
CI-FS,0,0,0,2,o4-mini,0,NEED,48,81,2143,8,37.21%,85.71%,51.89%,67.99%
CI-FS,0,0,0,2,o4-mini,0,ALTERNATIVES,9,63,2207,1,12.50%,90.00%,21.95%,40.18%
CI-FS,0,0,0,2,o4-mini,0,Total,161,182,6482,15,46.94%,91.48%,62.04%,76.89%
CI-FS,0,0,0,2,o4-mini,1,GOAL,102,53,2117,8,65.81%,92.73%,76.98%,85.71%
CI-FS,0,0,0,2,o4-mini,1,NEED,49,94,2130,7,34.27%,87.50%,49.25%,66.76%
CI-FS,0,0,0,2,o4-mini,1,ALTERNATIVES,8,55,2215,2,12.70%,80.00%,21.92%,38.83%
CI-FS,0,0,0,2,o4-mini,1,Total,159,202,6462,17,44.04%,90.34%,59.22%,74.65%
CI-FS,0,0,0,2,o4-mini,2,GOAL,100,36,2134,10,73.53%,90.91%,81.30%,86.81%
CI-FS,0,0,0,2,o4-mini,2,NEED,46,79,2145,10,36.80%,82.14%,50.83%,65.90%
CI-FS,0,0,0,2,o4-mini,2,ALTERNATIVES,7,53,2217,3,11.67%,70.00%,20.00%,35.00%
CI-FS,0,0,0,2,o4-mini,2,Total,153,168,6496,23,47.66%,86.93%,61.57%,74.63%
CI-FS,0,0,0,2,o4-mini,Voting,GOAL,103,40,2130,7,72.03%,93.64%,81.42%,88.34%
CI-FS,0,0,0,2,o4-mini,Voting,NEED,49,83,2141,7,37.12%,87.50%,52.13%,68.82%
CI-FS,0,0,0,2,o4-mini,Voting,ALTERNATIVES,9,53,2217,1,14.52%,90.00%,25.00%,44.12%
CI-FS,0,0,0,2,o4-mini,Voting,Total,161,176,6488,15,47.77%,91.48%,62.77%,77.33%
CI-FS,0,0,0,2,o4-mini,Average,Total,157.6666667,184,6480,18.33333333,46.22%,89.58%,60.94%,75.43%
CI_RFS,0,1,1,2,o4-mini,0,GOAL,99,31,2139,11,76.15%,90.00%,82.50%,86.84%
CI_RFS,0,1,1,2,o4-mini,0,NEED,50,86,2138,6,36.76%,89.29%,52.08%,69.44%
CI_RFS,0,1,1,2,o4-mini,0,ALTERNATIVES,6,51,2219,4,10.53%,60.00%,17.91%,30.93%
CI_RFS,0,1,1,2,o4-mini,0,Total,155,168,6496,21,47.99%,88.07%,62.12%,75.46%
CI_RFS,0,1,1,2,o4-mini,1,GOAL,106,44,2126,4,70.67%,96.36%,81.54%,89.83%
CI_RFS,0,1,1,2,o4-mini,1,NEED,52,85,2139,4,37.96%,92.86%,53.89%,72.02%
CI_RFS,0,1,1,2,o4-mini,1,ALTERNATIVES,9,60,2210,1,13.04%,90.00%,22.78%,41.28%
CI_RFS,0,1,1,2,o4-mini,1,Total,167,189,6475,9,46.91%,94.89%,62.78%,78.77%
CI_RFS,0,1,1,2,o4-mini,2,GOAL,105,36,2134,5,74.47%,95.45%,83.67%,90.36%
CI_RFS,0,1,1,2,o4-mini,2,NEED,48,86,2138,8,35.82%,85.71%,50.53%,67.04%
CI_RFS,0,1,1,2,o4-mini,2,ALTERNATIVES,6,53,2217,4,10.17%,60.00%,17.39%,30.30%
CI_RFS,0,1,1,2,o4-mini,2,Total,159,175,6489,17,47.60%,90.34%,62.35%,76.59%
CI_RFS,0,1,1,2,o4-mini,Voting,GOAL,105,32,2138,5,76.64%,95.45%,85.02%,90.99%
CI_RFS,0,1,1,2,o4-mini,Voting,NEED,51,79,2145,5,39.23%,91.07%,54.84%,72.03%
CI_RFS,0,1,1,2,o4-mini,Voting,ALTERNATIVES,8,44,2226,2,15.38%,80.00%,25.81%,43.48%
CI_RFS,0,1,1,2,o4-mini,Voting,Total,164,155,6509,12,51.41%,93.18%,66.26%,80.16%
CI_RFS,0,1,1,2,o4-mini,Average,Total,160.3333333,177.3333333,6486.666667,15.66666667,47.50%,91.10%,62.42%,76.97%
CI_RFS,0,1,1,2,o4-mini,Average,ALTERNATIVES,-,-,-,-,11.25%,70.00%,19.38%,34.23%
CI_RFS,0,1,1,2,o4-mini,Average,GOAL,-,-,-,-,73.76%,93.94%,82.64%,89.07%
CI_RFS,0,1,1,2,o4-mini,Average,NEED,-,-,-,-,36.85%,89.29%,52.17%,69.50%
CI-FS,0,0,0,2,o4-mini,Average,ALTERNATIVES,-,-,-,-,12.29%,80.00%,21.30%,38.06%
CI-FS,0,0,0,2,o4-mini,Average,GOAL,-,-,-,-,70.86%,92.73%,80.33%,87.34%
CI-FS,0,0,0,2,o4-mini,Average,NEED,-,-,-,-,36.09%,85.12%,50.69%,66.93%
CI-ZS,0,0,0,0,o4-mini,Average,ALTERNATIVES,-,-,-,-,10.70%,76.67%,18.78%,34.34%
CI-ZS,0,0,0,0,o4-mini,Average,GOAL,-,-,-,-,69.96%,93.64%,80.09%,87.70%
CI-ZS,0,0,0,0,o4-mini,Average,NEED,-,-,-,-,32.30%,83.93%,46.65%,63.60%
