Commit_ID,Project,#Artifact
230,junit4,3
589,junit4,2
756,junit4,6
928,junit4,4
1067,junit4,4
1098,junit4,7
1271,junit4,5
1456,junit4,5
1459,junit4,1
1625,junit4,3
1672,junit4,2
1952,junit4,2
2001,junit4,3
2653,dubbo,4
2669,dubbo,7
2922,dubbo,6
3142,dubbo,8
3153,dubbo,4
3261,dubbo,7
3412,dubbo,5
3544,dubbo,7
3645,dubbo,7
3990,dubbo,1
4081,dubbo,3
4164,dubbo,4
4269,dubbo,3
4762,retrofit,5
4807,retrofit,8
4841,retrofit,8
4882,retrofit,5
4928,retrofit,8
4960,retrofit,3
5371,retrofit,2
5430,retrofit,2
5497,retrofit,8
5500,retrofit,2
5532,retrofit,4
5635,retrofit,6
5744,retrofit,4
5851,okhttp,3
6326,okhttp,4
6367,okhttp,4
6844,okhttp,4
7022,okhttp,10
7143,okhttp,3
7488,okhttp,7
7602,okhttp,8
7970,okhttp,5
8083,okhttp,7
8204,okhttp,10
8588,okhttp,3
8834,spring-boot,2
9867,spring-boot,5
12420,spring-boot,2
12834,spring-boot,4
14243,spring-boot,3
14552,spring-boot,6
20960,spring-boot,2
25103,spring-boot,7
25555,spring-boot,3
27710,spring-boot,3
29574,spring-boot,4
29742,spring-boot,4
Grand Total,,291
