iteration,component,total,component_count,agreement,disagreement,accuracy,kappa
0,GOAL,210,31,205,5,97.62,0.826
0,NEED,210,8,206,4,98.1,0.4909
0,BENEFITS,210,2,210,0,100,1
0,CONSTRAINTS,210,1,209,1,99.52,0
0,ALTERNATIVES,210,7,209,1,99.52,0.8548
0,SELECTED_ALTERNATIVE,210,4,208,2,99.05,0.4964
0,VALIDATION,210,1,209,1,99.52,0
0,SIDE_EFFECTS,210,2,210,0,100,1
0,IRRELEVANT_REFERENCE,210,95,201,9,95.71,0.8779
1,GOAL,302,32,298,4,98.68,0.868
1,NEED,302,35,297,5,98.34,0.8484
1,BENEFITS,302,2,302,0,100,1
1,VALIDATION,302,7,301,1,99.67,0.8555
1,SIDE_EFFECTS,302,1,301,1,99.67,0
1,IRRELEVANT_REFERENCE,302,145,277,25,91.72,0.7752
2,GOAL,208,45,205,3,98.56,0.9253
2,NEED,208,7,203,5,97.6,0.2758
2,BENEFITS,208,2,208,0,100,1
2,CONSTRAINTS,208,2,208,0,100,1
2,IRRELEVANT_REFERENCE,208,88,208,0,100,1
3,GOAL,679,43,676,3,99.56,0.928
3,NEED,679,28,675,4,99.41,0.8542
3,BENEFITS,679,2,679,0,100,1
3,ALTERNATIVES,679,4,679,0,100,1
3,SELECTED_ALTERNATIVE,679,2,679,0,100,1
3,VALIDATION,679,1,678,1,99.85,0
3,IRRELEVANT_REFERENCE,679,215,470,209,69.22,0.9135
4,GOAL,370,34,366,4,98.92,0.8767
4,NEED,370,23,363,7,98.11,0.6861
4,BENEFITS,370,4,368,2,99.46,0.498
4,ALTERNATIVES,370,4,370,0,100,1
4,SELECTED_ALTERNATIVE,370,4,370,0,100,1
4,IRRELEVANT_REFERENCE,370,136,368,2,99.46,0.982
5,GOAL,1319,59,1312,7,99.47,0.8786
5,NEED,1319,50,1315,4,99.7,0.9185
5,ALTERNATIVES,1319,24,1317,2,99.85,0.9159
5,SELECTED_ALTERNATIVE,1319,2,1319,0,100,1
5,MATURITY_STAGE,1319,2,1319,0,100,1
5,SIDE_EFFECTS,1319,1,1318,1,99.92,0
5,IRRELEVANT_REFERENCE,1319,445,1294,25,98.1,0.9325
